iter	Accuracy	MultiClass
0	0.9111349036	0.6704085341
1	0.9383603548	0.6485749718
2	0.9663505659	0.627217025
3	0.9596206791	0.6086114991
4	0.9450902417	0.5895918824
5	0.9420312022	0.5733207496
6	0.9435607219	0.5579127658
7	0.9417252983	0.543479537
8	0.9461609055	0.5271705038
9	0.9576323035	0.511026432
10	0.9554909758	0.4968242248
11	0.9556439278	0.4825838193
12	0.9548791679	0.4704148898
13	0.9576323035	0.4561367364
14	0.9561027837	0.4437148284
15	0.9556439278	0.4324576176
16	0.9582441113	0.4209700414
17	0.9564086877	0.4124412869
18	0.9574793515	0.4004784115
19	0.9666564699	0.3883201458
20	0.9666564699	0.3798539196
21	0.9669623738	0.3696863765
22	0.9680330376	0.3604042532
23	0.9678800857	0.3519923222
24	0.9678800857	0.3436278638
25	0.9678800857	0.3351268779
26	0.9677271337	0.3265905762
27	0.9678800857	0.3173783708
28	0.9678800857	0.3119680819
29	0.9694096054	0.3050226694
30	0.971703885	0.2991404179
31	0.9706332212	0.2924745164
32	0.9733863567	0.2861770692
33	0.9724686448	0.2804414184
34	0.9733863567	0.2753518641
35	0.9727745488	0.2694001029
36	0.9727745488	0.262911344
37	0.9727745488	0.2574661591
38	0.9736922606	0.2520982373
39	0.9732334047	0.2484552462
40	0.9744570205	0.2431375738
41	0.9761394922	0.2374081517
42	0.977210156	0.2321562955
43	0.977057204	0.2269900039
44	0.977210156	0.2215514012
45	0.9781278678	0.2177340403
46	0.9808810034	0.2139873244
47	0.9801162435	0.209193212
48	0.9805750994	0.2051491741
49	0.9796573876	0.2002350301
50	0.9811869073	0.1962745252
51	0.9817987152	0.1932045163
52	0.9833282349	0.1899115505
53	0.9856225145	0.1871462156
54	0.9860813704	0.1843556905
55	0.9871520343	0.1805041888
56	0.9879167941	0.177721553
57	0.9879167941	0.1735706549
58	0.9879167941	0.1702758222
59	0.9876108902	0.1668439701
60	0.9874579382	0.1641579707
61	0.9873049862	0.1615151336
62	0.9876108902	0.1588097865
63	0.9889874579	0.1563919058
64	0.9891404099	0.1538764136
65	0.9895992658	0.1509927568
66	0.9899051698	0.1490862911
67	0.9908228816	0.1468570089
68	0.9903640257	0.1439930647
69	0.9905169777	0.1407576227
70	0.9906699296	0.1378545435
71	0.9911287856	0.1357372712
72	0.9914346895	0.1335405356
