iter	Passed	Remaining
0	62	62477
1	64	32291
2	67	22267
3	69	17274
4	72	14334
5	73	12252
6	76	10795
7	78	9701
8	80	8876
9	82	8193
10	84	7618
11	86	7162
12	88	6754
13	91	6409
14	93	6115
15	95	5863
16	97	5644
17	99	5444
18	101	5261
19	103	5089
20	106	4942
21	108	4813
22	110	4688
23	112	4582
24	114	4481
25	116	4380
26	119	4296
27	121	4210
28	123	4128
29	125	4053
30	127	3985
31	129	3922
32	131	3864
33	134	3810
34	136	3754
35	138	3703
36	140	3652
37	142	3609
38	144	3568
39	147	3528
40	149	3488
41	151	3448
42	153	3411
43	155	3372
44	157	3339
45	159	3305
46	161	3277
47	163	3241
48	165	3212
49	167	3183
50	169	3156
51	171	3129
52	173	3104
53	175	3077
54	177	3054
55	179	3031
56	181	3008
57	183	2983
58	185	2964
59	187	2945
60	190	2928
61	192	2909
62	194	2890
63	196	2871
64	198	2854
65	200	2836
66	202	2820
67	204	2802
68	206	2786
69	208	2770
70	210	2757
71	212	2743
72	215	2730
73	217	2718
74	219	2707
75	221	2696
76	223	2682
77	225	2669
78	227	2655
79	229	2643
80	231	2630
81	233	2619
82	236	2608
83	238	2596
84	240	2586
85	242	2576
86	244	2567
87	246	2555
88	248	2546
89	250	2535
90	252	2524
91	254	2513
92	256	2502
93	258	2493
94	260	2483
95	262	2475
96	264	2464
97	266	2454
98	268	2445
99	270	2436
100	272	2427
101	274	2419
102	276	2411
103	279	2404
104	281	2397
105	283	2389
106	285	2382
107	287	2375
108	289	2366
109	291	2357
110	293	2350
111	295	2344
112	297	2335
113	299	2330
114	301	2322
115	303	2314
116	305	2306
117	307	2298
118	309	2292
119	311	2284
120	313	2278
121	315	2270
122	317	2263
123	319	2257
124	321	2250
125	323	2244
126	325	2236
127	327	2230
128	329	2225
129	331	2219
130	333	2214
131	335	2207
132	337	2202
133	339	2195
134	341	2188
135	343	2182
136	345	2176
137	347	2170
138	349	2164
139	351	2158
140	353	2152
141	355	2147
142	357	2142
143	359	2136
144	361	2131
145	363	2125
146	365	2121
147	367	2115
148	369	2111
149	371	2106
150	373	2100
151	375	2094
152	377	2089
153	379	2084
154	381	2078
155	383	2075
156	385	2070
157	387	2066
158	389	2061
159	390	2049
160	392	2045
161	394	2040
162	396	2037
163	399	2036
164	401	2032
165	403	2027
166	405	2022
167	407	2019
168	409	2014
169	411	2010
170	413	2005
171	415	2001
172	417	1996
173	419	1992
174	421	1987
175	423	1983
176	425	1979
177	427	1976
178	430	1972
179	432	1968
180	434	1964
181	436	1960
182	438	1956
183	440	1952
184	442	1948
185	444	1945
186	446	1941
187	448	1937
188	450	1933
189	452	1929
190	454	1925
191	456	1921
192	458	1918
193	460	1914
194	462	1910
195	464	1906
196	466	1902
197	468	1898
198	470	1894
199	472	1890
200	474	1886
201	476	1883
202	478	1879
203	480	1875
204	483	1874
205	485	1871
206	487	1868
207	489	1865
208	491	1862
209	493	1858
210	496	1855
211	498	1852
212	500	1849
213	502	1845
214	504	1842
215	507	1840
216	509	1837
217	511	1835
218	514	1833
219	516	1830
220	518	1826
221	520	1824
222	522	1820
223	524	1818
224	527	1815
225	529	1812
226	531	1810
227	533	1807
228	536	1805
229	538	1803
230	540	1799
231	542	1796
232	544	1792
233	546	1788
234	548	1785
235	550	1781
236	552	1778
237	554	1776
238	556	1773
239	558	1770
240	561	1767
241	563	1764
242	565	1760
243	566	1756
244	568	1752
245	571	1750
246	573	1747
247	575	1744
248	577	1741
249	579	1738
250	581	1734
251	583	1731
252	585	1728
253	587	1724
254	589	1721
255	591	1719
256	593	1715
257	595	1713
258	597	1709
259	599	1706
260	601	1704
261	604	1701
262	606	1698
263	608	1696
264	610	1692
265	612	1689
266	614	1686
267	616	1684
268	618	1681
269	620	1678
270	622	1675
271	624	1672
272	627	1670
273	629	1667
274	631	1664
275	633	1661
276	635	1658
277	637	1655
278	639	1652
279	641	1649
280	643	1646
281	645	1644
282	647	1640
283	649	1637
284	651	1634
285	653	1631
286	655	1628
287	657	1626
288	659	1623
289	661	1620
290	663	1617
291	665	1614
292	667	1611
293	670	1609
294	672	1606
295	674	1603
296	676	1600
297	678	1597
298	680	1594
299	682	1591
300	684	1589
301	686	1586
302	688	1584
303	690	1581
304	693	1579
305	695	1576
306	697	1573
307	699	1571
308	701	1568
309	703	1565
310	705	1563
311	707	1561
312	710	1558
313	712	1555
314	713	1552
315	716	1550
316	718	1547
317	720	1544
318	722	1541
319	724	1539
320	726	1536
321	728	1533
322	730	1531
323	732	1528
324	734	1525
325	736	1522
326	738	1520
327	740	1517
328	742	1514
329	744	1512
330	746	1509
331	748	1506
332	750	1503
333	752	1500
334	754	1498
335	756	1495
336	758	1492
337	760	1489
338	762	1486
339	764	1483
340	766	1481
341	768	1478
342	770	1476
343	772	1473
344	774	1470
345	776	1468
346	779	1465
347	780	1463
348	782	1460
349	785	1458
350	787	1455
351	789	1453
352	791	1450
353	793	1447
354	795	1445
355	797	1442
356	799	1440
357	801	1437
358	803	1435
359	805	1432
360	807	1429
361	809	1426
362	811	1424
363	813	1421
364	815	1418
365	817	1415
366	819	1413
367	821	1411
368	823	1408
369	825	1406
370	827	1403
371	830	1401
372	832	1398
373	834	1396
374	836	1394
375	838	1392
376	841	1389
377	842	1387
378	844	1384
379	846	1381
380	849	1379
381	851	1377
382	853	1374
383	855	1372
384	857	1369
385	859	1367
386	861	1364
387	863	1361
388	865	1359
389	867	1356
390	869	1354
391	871	1352
392	873	1349
393	875	1346
394	877	1344
395	879	1341
396	881	1338
397	883	1336
398	885	1334
399	887	1331
400	890	1329
401	892	1327
402	894	1324
403	896	1322
404	898	1320
405	900	1318
406	903	1315
407	905	1313
408	907	1311
409	909	1308
410	911	1306
411	913	1304
412	915	1301
413	918	1299
414	920	1296
415	921	1294
416	924	1292
417	926	1289
418	928	1286
419	930	1284
420	932	1282
421	934	1279
422	936	1277
423	938	1275
424	940	1272
425	942	1270
426	945	1268
427	947	1266
428	949	1263
429	951	1261
430	953	1258
431	955	1256
432	957	1254
433	960	1252
434	962	1249
435	964	1247
436	966	1244
437	968	1242
438	970	1240
439	972	1237
440	974	1235
441	976	1232
442	978	1230
443	980	1228
444	982	1225
445	984	1223
446	986	1220
447	988	1218
448	990	1215
449	992	1213
450	994	1210
451	996	1208
452	998	1205
453	1000	1203
454	1002	1201
455	1004	1198
456	1006	1196
457	1008	1193
458	1010	1191
459	1012	1188
460	1014	1186
461	1017	1184
462	1019	1181
463	1021	1179
464	1023	1177
465	1025	1174
466	1027	1172
467	1029	1169
468	1031	1167
469	1033	1165
470	1035	1162
471	1037	1160
472	1039	1157
473	1041	1155
474	1043	1153
475	1045	1150
476	1047	1148
477	1049	1146
478	1051	1143
479	1053	1141
480	1055	1139
481	1057	1136
482	1059	1134
483	1061	1131
484	1063	1129
485	1065	1127
486	1067	1124
487	1069	1122
488	1071	1119
489	1073	1117
490	1075	1114
491	1077	1112
492	1079	1109
493	1081	1107
494	1083	1105
495	1085	1102
496	1087	1100
497	1089	1098
498	1091	1096
499	1093	1093
500	1095	1091
501	1097	1088
502	1099	1086
503	1102	1084
504	1104	1082
505	1106	1079
506	1108	1077
507	1110	1075
508	1111	1072
509	1113	1070
510	1115	1067
511	1117	1065
512	1120	1063
513	1122	1061
514	1124	1059
515	1126	1056
516	1128	1054
517	1130	1052
518	1133	1050
519	1135	1048
520	1137	1046
521	1139	1043
522	1141	1041
523	1143	1038
524	1145	1036
525	1147	1034
526	1149	1032
527	1151	1029
528	1153	1027
529	1155	1025
530	1157	1022
531	1159	1020
532	1161	1018
533	1164	1015
534	1166	1013
535	1168	1011
536	1170	1008
537	1172	1006
538	1174	1004
539	1176	1002
540	1178	999
541	1180	997
542	1182	995
543	1185	993
544	1187	991
545	1189	988
546	1191	986
547	1193	984
548	1195	981
549	1197	979
550	1198	977
551	1201	974
552	1202	972
553	1204	970
554	1206	967
555	1208	965
556	1210	963
557	1213	960
558	1215	958
559	1216	956
560	1219	953
561	1221	951
562	1223	949
563	1225	947
564	1227	944
565	1229	942
566	1231	940
567	1233	938
568	1235	936
569	1238	933
570	1240	931
571	1242	929
572	1244	927
573	1246	924
574	1248	922
575	1250	920
576	1252	918
577	1254	915
578	1256	913
579	1258	911
580	1260	909
581	1262	906
582	1264	904
583	1266	902
584	1268	899
585	1270	897
586	1272	895
587	1274	893
588	1276	891
589	1278	888
590	1280	886
591	1283	884
592	1284	881
593	1287	879
594	1289	877
595	1291	875
596	1293	873
597	1295	870
598	1297	868
599	1299	866
600	1301	863
601	1303	861
602	1305	859
603	1308	857
604	1309	855
605	1311	853
606	1314	850
607	1316	848
608	1318	846
609	1320	844
610	1322	842
611	1324	839
612	1326	837
613	1329	835
614	1331	833
615	1333	831
616	1335	828
617	1337	826
618	1339	824
619	1341	822
620	1343	820
621	1345	817
622	1347	815
623	1350	813
624	1352	811
625	1354	809
626	1356	806
627	1358	804
628	1360	802
629	1362	800
630	1364	798
631	1366	795
632	1368	793
633	1370	791
634	1372	789
635	1374	786
636	1376	784
637	1378	782
638	1381	780
639	1383	778
640	1385	775
641	1387	773
642	1389	771
643	1390	768
644	1392	766
645	1395	764
646	1397	762
647	1399	760
648	1400	757
649	1402	755
650	1404	753
651	1406	750
652	1408	748
653	1410	746
654	1412	744
655	1415	742
656	1417	739
657	1419	737
658	1421	735
659	1423	733
660	1425	731
661	1427	729
662	1429	726
663	1432	724
664	1434	722
665	1436	720
666	1438	717
667	1440	715
668	1442	713
669	1444	711
670	1446	709
671	1448	707
672	1450	704
673	1452	702
674	1454	700
675	1456	698
676	1458	695
677	1460	693
678	1462	691
679	1464	689
680	1466	687
681	1469	685
682	1471	682
683	1473	680
684	1475	678
685	1477	676
686	1479	674
687	1481	671
688	1483	669
689	1485	667
690	1487	665
691	1489	662
692	1491	660
693	1493	658
694	1495	656
695	1497	654
696	1499	651
697	1501	649
698	1503	647
699	1505	645
700	1507	643
701	1510	641
702	1512	638
703	1514	636
704	1516	634
705	1518	632
706	1520	630
707	1522	627
708	1524	625
709	1526	623
710	1528	621
711	1531	619
712	1532	617
713	1534	614
714	1536	612
715	1538	610
