id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,description,veh_type,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,client_id,police_station,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_datetime,resolved_datetime,zone,junction,hour,day,month,day_of_week,weekend,duration_minutes,is_closed,is_resolved
FKID000008,planned,12.97883573,77.59953728,0.0,0.0,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",Unknown,public_event,False,,2024-02-12 14:05:46+00:00,closed,yes,2024-02-12 14:05:46.017066+00:00,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",Unknown,CBD 2,High,None,Unknown,-1.0,2024-01-30 05:09:41.077868+00:00,1,Cubbon Park,Unknown,12.9828467,77.58946,,,Unknown,QueensStatueCircle,,,,,0,325.0827,0,0
FKID000040,planned,12.946469,77.6986754,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",Unknown,construction,False,2024-01-30 11:31:12.848000+00:00,2024-01-30 11:31:46+00:00,closed,no,2024-01-30 11:35:47.865142+00:00,[LOCATION] works going on sir,Unknown,ORR East 1,High,None,Unknown,-1.0,2024-01-30 11:32:15.765069+00:00,1,HAL Old Airport,Unknown,12.9828467,77.58946,,,Unknown,Unknown,11.0,30.0,1.0,1.0,0,0.5525333333333333,0,0
FKID000045,planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)","Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303000+00:00,2024-01-30 21:20:46+00:00,closed,yes,2024-01-30 21:35:48.130423+00:00,Unknown,Unknown,Non-corridor,Low,None,Unknown,-1.0,2024-01-30 21:21:41.722681+00:00,1,K.G. Halli,Unknown,12.9828467,77.58946,,,Unknown,Unknown,21.0,30.0,1.0,1.0,0,-0.40505,0,0
FKID000052,planned,12.9694079,77.7006346,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Unknown,construction,False,2024-01-30 20:56:01.732000+00:00,2024-01-31 09:05:46+00:00,closed,yes,2024-01-31 09:35:47.797656+00:00,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,Unknown,ORR East 2,High,None,Unknown,-1.0,2024-01-30 20:56:43.100304+00:00,1,HAL Old Airport,Unknown,12.9828467,77.58946,,,Unknown,Unknown,20.0,30.0,1.0,1.0,0,729.7378,0,0
FKID000082,planned,12.969418,77.7006526,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Unknown,construction,False,2024-03-07 21:23:16.629000+00:00,2024-03-08 10:05:46+00:00,closed,yes,2024-03-08 10:35:48.497372+00:00,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,Unknown,ORR East 2,High,None,Unknown,-1.0,2024-03-07 21:25:40.927133+00:00,1,HAL Old Airport,Unknown,12.9828467,77.58946,,,Unknown,Unknown,21.0,7.0,3.0,3.0,0,762.4895166666666,0,0
FKID000139,planned,12.9693576,77.7006406,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Unknown,construction,False,2024-01-31 21:05:04.750000+00:00,2024-02-01 09:05:46+00:00,closed,yes,2024-02-01 09:35:47.970684+00:00,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,Unknown,ORR East 2,High,None,Unknown,-1.0,2024-01-31 21:06:03.165568+00:00,1,HAL Old Airport,Unknown,12.9828467,77.58946,,,Unknown,Unknown,21.0,31.0,1.0,2.0,0,720.6875,0,0
FKID000158,planned,12.9762232,77.6016656,0.0,0.0,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Unknown,construction,False,2024-01-31 22:25:30.936000+00:00,2024-01-31 18:26:46+00:00,closed,no,2024-01-31 22:48:09.127136+00:00,Off road bmtc bus,Unknown,Old Madras Road,High,None,Unknown,-1.0,2024-01-31 22:26:55.849218+00:00,1,Cubbon Park,Unknown,12.9828467,77.58946,,,Unknown,Unknown,22.0,31.0,1.0,2.0,0,-238.74893333333333,0,0
FKID000166,planned,13.1511992,77.620242,0.0,0.0,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",Unknown,construction,False,2024-02-01 00:08:01.156000+00:00,2024-02-01 06:07:46+00:00,closed,yes,2024-02-01 00:39:55.772208+00:00,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",Unknown,Bellary Road 2,High,None,Unknown,-1.0,2024-02-01 00:13:06.270526+00:00,1,Chikkajala,Unknown,12.9828467,77.58946,2024-02-01 00:39:55.771653+00:00,,Unknown,Unknown,0.0,1.0,2.0,3.0,0,359.7474,1,0
FKID000192,planned,13.07835,77.502205,0.0,0.0,"Hesaraghatta Main Road, Sri M Vishveshwaraiah Layout, Chikkabanavara, Bengaluru, Karnataka. Pin-560090 (India)",Unknown,construction,False,2024-03-08 04:32:41.143000+00:00,2024-03-08 04:32:46+00:00,closed,no,2024-03-08 04:35:48.746733+00:00,k ride work,Unknown,Non-corridor,Low,None,Unknown,-1.0,2024-03-08 04:33:41.652497+00:00,1,Chikkabanavara,Unknown,12.9828467,77.58946,,,Unknown,Unknown,4.0,8.0,3.0,4.0,0,0.08095000000000001,0,0
FKID000229,planned,12.965034,77.5747048,12.9650142,77.5750166,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)","Sethu Rao Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",construction,True,2024-02-01 11:31:41.249000+00:00,2024-02-01 11:31:46+00:00,closed,yes,2024-02-01 11:41:28.388429+00:00,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,Unknown,Mysore Road,High,None,Unknown,-1.0,2024-02-01 11:34:20.342635+00:00,1,City Market,Unknown,12.9828467,77.58946,,,Unknown,Unknown,11.0,1.0,2.0,3.0,0,0.07918333333333334,0,0
