id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,description,veh_type,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,client_id,police_station,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_datetime,resolved_datetime,zone,junction,hour,day,month,day_of_week,weekend,duration_minutes,is_closed,is_resolved
FKID000000,unplanned,13.0400041,77.5180991,0.0,0.0,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",Unknown,vehicle_breakdown,False,2024-03-07 17:01:48.111000+00:00,,closed,yes,2024-03-07 19:35:47.871698+00:00,s m circle in coming  man track,lcv,Tumkur Road,High,None,Unknown,-1.0,2024-03-07 17:03:51.164032+00:00,1,Peenya,Unknown,12.9828467,77.58946,,,Unknown,Unknown,17.0,7.0,3.0,3.0,0,325.0827,0,0
FKID000001,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Unknown,vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,,resolved,yes,2024-01-30 04:17:46.828979+00:00,Starting problem,heavy_vehicle,ORR East 1,High,None,Unknown,-1.0,2024-01-30 04:08:22.954979+00:00,1,HSR Layout,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,,2024-01-30 04:17:46.828355+00:00,Unknown,Unknown,4.0,30.0,1.0,1.0,0,325.0827,0,1
FKID000002,unplanned,12.955622,77.5857083,0.0,0.0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",Unknown,others,False,2023-11-11 06:18:03.343000+00:00,,closed,yes,2024-01-30 04:56:03.282003+00:00,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,Unknown,Non-corridor,Low,None,Unknown,-1.0,2023-11-11 06:20:00.989398+00:00,1,Wilson Garden,Unknown,12.9828467,77.58946,2024-01-30 04:56:03.281509+00:00,,Central Zone 2,UrvashiJunction,6.0,11.0,11.0,5.0,1,325.0827,1,0
FKID000003,unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)","Sankey Road, Palace Orchard Upper, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,True,2024-03-07 17:56:55.061000+00:00,,closed,yes,2024-03-14 07:42:05.550050+00:00,tree fall,Unknown,Non-corridor,Low,None,Unknown,-1.0,2024-03-07 17:58:56.696892+00:00,1,Sadashivanagar,Unknown,12.9828467,77.58946,2024-03-14 07:42:05.549440+00:00,,Unknown,Unknown,17.0,7.0,3.0,3.0,0,325.0827,1,0
FKID000004,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",Unknown,vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,,closed,yes,2024-01-30 05:35:17.339080+00:00,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,Non-corridor,Low,None,Unknown,-1.0,2024-01-30 04:58:55.937662+00:00,1,Wilson Garden,Unknown,12.9828467,77.58946,2024-01-30 05:35:17.338283+00:00,,Unknown,LalbaghMainGateJunc,4.0,30.0,1.0,1.0,0,325.0827,1,0
FKID000005,unplanned,13.0664854,77.5998755,0.0,0.0,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",Unknown,accident,False,2023-11-28 03:07:27.292421+00:00,,closed,yes,2023-11-28 04:35:48.241160+00:00,Unknown,Unknown,Non-corridor,Low,None,Unknown,-1.0,2023-11-28 03:08:23.242047+00:00,1,Hebbala,Unknown,12.9828467,77.58946,,,North Zone 1,Unknown,3.0,28.0,11.0,1.0,0,325.0827,0,0
FKID000006,unplanned,12.9328703,77.4879814,0.0,0.0,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",Unknown,vehicle_breakdown,False,2024-01-30 07:26:26.739000+00:00,,closed,yes,2024-01-30 09:35:47.912868+00:00,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Non-corridor,Low,None,Unknown,-1.0,2024-01-30 07:28:18.053017+00:00,1,Kengeri,Unknown,12.9828467,77.58946,,,Unknown,Unknown,7.0,30.0,1.0,1.0,0,325.0827,0,0
FKID000007,unplanned,12.973175,77.6003961,0.0,0.0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Unknown,others,False,2024-01-30 06:05:59.339000+00:00,,closed,yes,2024-02-16 01:28:18.331081+00:00,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,Unknown,Non-corridor,Low,None,Unknown,-1.0,2024-01-30 06:08:11.015846+00:00,1,Cubbon Park,Unknown,12.9828467,77.58946,2024-02-16 01:28:18.330429+00:00,,Unknown,Unknown,6.0,30.0,1.0,1.0,0,325.0827,1,0
FKID000009,unplanned,13.0373543,77.6540442,0.0,0.0,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",Unknown,vehicle_breakdown,False,2024-01-30 05:25:50.078000+00:00,,closed,yes,2024-01-30 07:35:47.963222+00:00,Unknown,lcv,Non-corridor,Low,None,Unknown,-1.0,2024-01-30 05:26:53.362158+00:00,1,Hennuru,Unknown,12.9828467,77.58946,,,Unknown,Unknown,5.0,30.0,1.0,1.0,0,325.0827,0,0
FKID000010,unplanned,13.0008457,77.6813712,0.0,0.0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",Unknown,water_logging,False,2024-03-07 18:01:40.182000+00:00,,closed,yes,2024-03-14 05:49:58.161494+00:00,woter logging [PERSON] moment ph [PHONE],Unknown,ORR East 2,High,None,Unknown,-1.0,2024-03-07 18:02:16.983926+00:00,1,K.R. Pura,Unknown,12.9828467,77.58946,2024-03-14 05:49:58.160945+00:00,,Unknown,Unknown,18.0,7.0,3.0,3.0,0,325.0827,1,0
